14.01.20 13:21
Статистика проекта

                    	Сегменты	Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	    1428	10582	                 84853	                93639	               36	
Осталось:           	    1428	10582	                 84853	                93639	               36	
Уникальные:         	    1191	 9947	                 79381	                87776	               36	
Осталось уникальных:	    1191	 9947	                 79381	                87776	               36	


Статистика по отдельным файлам:

Имя файла                               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (включая пробелы)	Осталось символов (включая пробелы)	Уникальные символы (включая пробелы)	Осталось уникальных символов (включая пробелы)	
adapter/config/parameters.md            	            111	               111	                100	                          100	      1169	         1169	            1127	                    1127	                         9234	                            9234	                             8851	                                       8851	                           10314	                              10314	                                9899	                                          9899	
adapter/config/README.md                	             30	                30	                 30	                           30	       380	          380	             380	                     380	                         3236	                            3236	                             3236	                                       3236	                            3583	                               3583	                                3583	                                          3583	
adapter/config/tuning-principles.md     	            163	               163	                145	                          145	      1646	         1646	            1584	                    1584	                        12908	                           12908	                            12446	                                      12446	                           14192	                              14192	                               13728	                                         13728	
adapter/config/work-with-certificates.md	             15	                15	                 15	                           15	       179	          179	             179	                     179	                         1443	                            1443	                             1443	                                       1443	                            1611	                               1611	                                1611	                                          1611	
adapter/README.md                       	             59	                59	                 54	                           54	       332	          332	             327	                     327	                         2452	                            2452	                             2411	                                       2411	                            2726	                               2726	                                2685	                                          2685	
adapter/remove.md                       	              8	                 8	                  8	                            8	        67	           67	              67	                      67	                          522	                             522	                              522	                                        522	                             582	                                582	                                 582	                                           582	
adapter/setup/iis-config.md             	             13	                13	                 13	                           13	       171	          171	             171	                     171	                         1415	                            1415	                             1415	                                       1415	                            1573	                               1573	                                1573	                                          1573	
adapter/setup/README.md                 	             51	                51	                 51	                           51	       550	          550	             550	                     550	                         4470	                            4470	                             4470	                                       4470	                            4938	                               4938	                                4938	                                          4938	
adapter/setup/special-user.md           	             24	                24	                 23	                           23	       199	          199	             196	                     196	                         1553	                            1553	                             1534	                                       1534	                            1728	                               1728	                                1707	                                          1707	
desktop/README.md                       	             48	                48	                 27	                           27	       147	          147	             118	                     118	                          877	                             877	                              732	                                        732	                             977	                                977	                                 823	                                           823	
